0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,is_fake
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,48960.0,6308.0,825.5,189.0,69.9,33.94,32.97,55.56,75.8,154.4,276.8,829.5,3022.0,5092.0,7828.0,2386.0,99.25,30.14,12.57,29.92,176.8,408.2,447.2,405.2,545.5,661.0,512.5,243.4,288.2,539.0,1273.0,1345.0,351.2,237.2,356.0,461.0,842.5,669.5,581.5,684.0,746.0,613.0,658.0,504.8,254.0,189.6,135.8,156.2,209.6,158.8,137.6,174.6,210.8,240.6,201.9,239.6,219.4,141.6,103.9,88.6,76.8,100.8,115.5,88.06,83.8,68.4,72.7,83.06,106.1,193.5,90.0,34.9,31.16,28.44,28.53,31.33,27.44,27.02,36.53,28.08,17.23,19.97,14.09,9.24,13.63,10.92,8.05,9.59,11.44,7.066,6.76,11.336,18.94,36.97,19.34,1
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,21890.0,8936.0,5524.0,3900.0,2630.0,1606.0,1552.0,1563.0,1623.0,1867.0,1119.0,733.5,612.0,818.0,888.5,1261.0,1188.0,1481.0,1927.0,2276.0,1533.0,1383.0,1289.0,734.0,992.5,1377.0,1197.0,1327.0,1626.0,2142.0,3266.0,4396.0,4304.0,3646.0,5212.0,5070.0,2952.0,2616.0,2290.0,2200.0,3058.0,2788.0,1978.0,2330.0,2462.0,2326.0,2546.0,2576.0,1774.0,1478.0,1925.0,2318.0,819.0,659.5,1024.0,452.8,199.9,178.9,377.5,954.5,1204.0,1130.0,1034.0,965.5,1234.0,1131.0,1040.0,1672.0,2031.0,1829.0,984.0,463.0,1074.0,970.0,629.0,507.5,612.0,669.5,556.0,460.2,613.5,412.8,246.9,242.5,178.6,173.2,234.8,212.0,96.8,76.8,84.25,171.1,274.0,125.1,1
-10.0,-10.0,-10.0,-10.0,59520.0,-10.0,-10.0,20930.0,395.5,242.8,175.9,134.2,100.5,88.94,163.5,846.5,3712.0,3438.0,1031.0,1531.0,4636.0,7656.0,4812.0,2478.0,2064.0,450.5,87.9,41.66,29.81,22.97,17.17,16.02,22.42,28.23,17.56,13.484,17.11,24.86,64.94,188.1,181.1,99.9,48.4,32.4,27.5,18.83,28.02,51.3,61.22,93.5,173.1,221.1,181.8,234.9,107.9,47.06,31.2,36.06,74.94,33.06,9.805,10.83,9.01,8.03,6.2,5.715,6.14,8.2,20.11,29.12,12.37,15.664,20.12,27.47,49.3,111.25,51.9,23.25,19.69,14.04,13.086,22.55,13.38,4.457,7.777,7.062,4.1,4.832,4.867,3.799,3.004,4.39,4.21,4.96,8.22,4.45,5.074,9.35,17.48,41.56,58.47,1
4116.0,51170.0,-10.0,-10.0,-10.0,-10.0,-10.0,4038.0,612.0,185.4,107.4,82.6,70.06,34.16,38.03,36.22,51.0,149.5,406.5,344.0,240.6,288.5,165.4,50.78,30.53,26.6,21.48,12.94,12.58,15.19,21.47,44.1,77.1,47.1,25.64,18.61,18.53,18.03,18.27,21.17,20.0,43.0,58.44,30.83,12.86,3.605,2.738,2.863,2.715,2.45,3.924,3.348,2.383,3.223,3.361,2.518,2.291,1.893,1.879,1.084,1.022,1.611,1.085,0.5,0.6753,1.631,0.9434,0.958,3.387,4.71,2.455,1.375,1.664,2.56,2.94,3.508,2.871,2.074,1.466,1.381,1.514,1.444,0.7734,0.6543,0.7305,0.6,0.5,0.5596,0.522,0.4316,0.2983,0.502,0.6064,0.4026,0.593,1.121,3.65,3.953,1.339,1.272,1.739,1
-10.0,-10.0,-10.0,-10.0,-10.0,25180.0,6444.0,996.5,136.4,68.0,31.27,31.7,50.3,57.0,110.0,163.4,368.2,546.5,574.5,425.2,502.8,1497.0,3072.0,2326.0,1253.0,423.5,233.4,175.1,148.1,111.8,75.75,58.62,71.25,86.8,96.7,90.2,121.56,128.6,112.25,90.7,102.8,183.1,224.4,206.5,161.4,92.06,85.06,103.5,68.6,55.97,72.0,85.1,65.25,56.0,48.53,35.4,31.95,26.95,27.45,12.84,6.2,8.734,7.43,5.477,5.082,4.906,5.543,9.35,16.28,20.36,11.83,12.73,17.77,20.86,33.8,60.5,39.7,26.89,18.62,12.52,9.72,15.58,8.94,5.28,8.89,6.61,2.773,3.078,3.086,1.941,1.913,3.135,3.297,3.992,6.383,3.652,3.521,5.54,9.29,25.28,35.0,1
-10.0,-10.0,-10.0,-10.0,-10.0,43360.0,23170.0,1994.0,35.7,24.16,16.84,12.55,39.53,291.0,330.5,57.03,6.94,4.355,4.79,3.324,4.51,22.94,44.5,28.48,19.05,19.94,15.68,26.78,65.56,63.78,31.8,52.4,62.47,38.1,23.16,21.0,63.94,165.2,138.9,115.0,128.9,258.5,413.0,240.0,179.2,278.2,378.2,306.0,251.5,215.2,161.0,170.4,162.9,185.5,195.9,176.5,95.7,72.6,62.94,60.62,45.66,27.42,14.18,20.3,20.8,12.75,17.17,31.4,33.1,21.45,18.92,25.42,25.86,27.97,47.7,89.75,40.2,26.06,22.28,14.07,16.84,20.55,14.25,12.96,20.28,12.29,7.438,13.17,13.32,7.574,8.28,6.652,5.445,5.594,4.13,4.547,4.67,5.383,9.95,13.3,8.23,1
14850.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,23820.0,7684.0,5976.0,5470.0,5164.0,23600.0,54180.0,-10.0,-10.0,-10.0,41150.0,35000.0,27650.0,14800.0,6350.0,5532.0,10136.0,18930.0,22530.0,18900.0,16930.0,23460.0,21020.0,12810.0,10104.0,9120.0,8570.0,10184.0,8820.0,6572.0,4996.0,4868.0,4228.0,6150.0,7908.0,9690.0,10320.0,10940.0,4988.0,2702.0,1279.0,492.5,616.0,921.0,1576.0,1517.0,1071.0,585.5,465.8,669.5,713.5,270.0,164.4,120.3,68.1,68.7,58.88,73.9,165.8,247.6,334.2,477.2,600.0,716.0,551.0,517.0,476.8,499.2,392.8,364.5,282.5,242.1,213.5,295.8,251.1,161.5,169.5,191.8,165.5,129.0,132.2,90.25,77.94,92.06,60.5,55.88,60.88,34.56,24.48,19.9,22.06,23.28,29.7,1
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,22220.0,16860.0,11790.0,8000.0,8020.0,6612.0,7372.0,6176.0,6316.0,7010.0,10600.0,10240.0,7628.0,10136.0,18320.0,15660.0,7136.0,3916.0,2486.0,1699.0,1802.0,1832.0,2614.0,2598.0,2120.0,2738.0,3102.0,3718.0,4788.0,3170.0,4456.0,6530.0,2558.0,5892.0,5784.0,5616.0,5850.0,3692.0,4344.0,3828.0,3332.0,3434.0,1694.0,3038.0,4570.0,3500.0,3518.0,2934.0,3516.0,3434.0,3100.0,1936.0,2528.0,2080.0,818.0,464.0,642.0,826.0,871.5,1979.0,4062.0,1723.0,996.0,1870.0,1156.0,940.0,1447.0,2248.0,2274.0,1219.0,1087.0,1138.0,1231.0,1032.0,741.5,444.0,1039.0,944.5,522.5,462.2,552.5,449.8,483.2,518.0,400.5,427.0,307.0,133.0,104.7,81.7,57.62,145.0,187.0,1
-10.0,-10.0,-10.0,-10.0,-10.0,37000.0,3462.0,588.5,959.5,2100.0,2228.0,1497.0,1002.0,383.5,236.2,171.4,136.5,212.0,294.8,382.8,482.8,451.0,268.5,191.1,146.9,146.0,86.8,63.34,105.7,253.8,384.5,501.5,563.5,543.5,433.8,383.8,432.5,686.5,1447.0,2236.0,1305.0,1340.0,1901.0,1991.0,1012.5,872.5,1123.0,1013.0,1166.0,1781.0,1140.0,728.0,586.0,559.5,615.5,461.5,418.2,278.8,171.8,142.4,156.5,113.7,55.53,9.23,3.877,12.56,25.66,32.4,52.72,65.3,38.75,31.19,36.4,36.34,47.9,71.25,46.22,27.73,30.73,32.28,30.56,34.34,51.97,36.03,23.28,24.0,23.05,19.12,21.75,14.99,14.39,15.55,15.04,15.4,14.94,12.15,11.016,8.26,11.69,16.69,11.96,1
-10.0,-10.0,-10.0,-10.0,-10.0,27200.0,18560.0,5404.0,1087.0,215.8,87.94,75.2,85.7,48.44,39.5,41.84,39.9,41.2,41.75,32.3,34.3,53.3,102.06,102.4,49.06,56.0,97.0,91.9,72.6,58.62,84.9,97.3,135.1,180.2,210.8,366.2,715.0,619.5,691.5,761.5,730.0,1353.0,1821.0,1659.0,1585.0,884.0,1173.0,1657.0,1498.0,951.5,1205.0,1034.0,558.5,626.0,1011.0,624.5,344.2,211.0,213.8,96.9,70.6,133.8,94.2,29.1,19.8,35.16,44.44,46.72,72.9,80.75,50.9,70.6,113.9,101.5,145.8,243.8,183.5,116.4,87.2,67.44,59.0,59.16,60.62,59.16,72.6,64.5,37.66,46.2,53.16,41.66,36.3,36.44,31.03,32.84,30.34,17.36,19.42,27.58,22.6,87.6,136.6,1
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,53200.0,43840.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,53280.0,26740.0,31070.0,23630.0,16530.0,15464.0,13256.0,10376.0,8700.0,9910.0,17940.0,18380.0,25310.0,31710.0,27790.0,31420.0,30080.0,32000.0,36830.0,27780.0,27920.0,27890.0,39520.0,48300.0,33800.0,35600.0,53380.0,-10.0,64770.0,49730.0,34300.0,18370.0,16100.0,14184.0,19800.0,11820.0,8340.0,9840.0,7124.0,4550.0,3862.0,3086.0,3900.0,5548.0,8144.0,7430.0,4756.0,4576.0,5292.0,5980.0,9224.0,17620.0,10056.0,4250.0,4856.0,4750.0,4836.0,6180.0,4600.0,3268.0,6624.0,5584.0,2432.0,2178.0,2894.0,3174.0,2972.0,2134.0,1236.0,1183.0,1411.0,775.5,473.5,355.2,293.0,439.0,489.2,1
27060.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,65380.0,5420.0,2204.0,2360.0,1100.0,541.0,721.5,1563.0,5880.0,10930.0,6916.0,4696.0,13640.0,29820.0,25440.0,6870.0,2326.0,1605.0,1708.0,2752.0,3010.0,2374.0,1549.0,1260.0,1138.0,1629.0,2390.0,2376.0,1916.0,2424.0,1479.0,1054.0,1243.0,1348.0,2372.0,2276.0,1786.0,1410.0,1277.0,1680.0,1252.0,1092.0,1340.0,911.0,759.5,979.0,1217.0,1429.0,1067.0,791.0,794.0,448.8,239.6,189.6,175.2,120.7,72.56,46.8,69.06,91.2,105.06,132.6,121.7,131.1,145.5,176.9,180.6,223.2,349.5,196.6,155.9,128.5,127.9,73.7,90.25,76.4,75.44,97.2,66.3,57.56,62.06,89.1,74.75,38.16,24.83,24.52,26.53,28.23,22.98,15.32,11.586,8.6,16.05,19.78,1
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,14390.0,552.5,192.9,179.8,155.8,409.0,13630.0,46140.0,28270.0,24930.0,8012.0,1067.0,253.5,42.56,16.7,15.08,13.59,10.32,7.137,4.742,3.234,2.635,2.234,2.16,2.047,1.903,1.574,1.165,1.043,0.967,0.994,0.8794,0.8745,0.9663,0.806,0.715,0.707,0.509,0.4436,0.398,0.4434,0.49,0.4006,0.379,0.4114,0.417,0.3577,0.2896,0.2825,0.281,0.2896,0.3872,0.269,0.2072,0.2222,0.2078,0.2241,0.449,0.973,0.6343,0.3696,0.536,0.4836,0.4448,0.4006,0.2708,0.737,0.9663,9.94,34.7,9.45,0.665,0.8096,0.4048,0.2832,0.3716,0.4158,0.3445,0.4578,0.3164,0.1948,0.3086,0.2205,0.1415,0.5137,0.6133,0.3757,0.8936,0.6807,0.8574,1.157,1.278,1.922,8.83,13.42,1
12920.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,45980.0,4424.0,1415.0,935.0,1295.0,1382.0,1427.0,2208.0,4956.0,8380.0,6184.0,5760.0,4348.0,2754.0,1779.0,1400.0,818.5,506.0,505.0,376.0,204.4,110.44,90.75,103.44,197.6,256.2,259.8,605.5,2128.0,3646.0,4360.0,3026.0,2296.0,1323.0,672.0,311.2,235.2,180.0,184.9,193.2,149.8,213.8,296.8,250.9,238.0,229.4,274.0,153.5,116.25,160.9,137.8,51.0,38.06,49.62,35.03,22.86,17.77,20.83,21.77,27.14,47.84,53.9,42.12,35.53,42.56,44.03,48.5,85.7,64.6,42.0,42.66,36.1,33.75,41.5,26.0,15.41,17.16,16.72,16.78,19.08,20.36,13.88,7.16,9.08,9.24,8.1,8.26,8.195,4.984,3.496,3.336,8.39,11.31,1
11390.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,53730.0,6452.0,1539.0,1089.0,1274.0,1325.0,1675.0,1434.0,1417.0,1484.0,1306.0,3168.0,21890.0,-10.0,62240.0,28320.0,8970.0,3188.0,1293.0,882.5,762.0,1343.0,1801.0,2578.0,4732.0,5596.0,3564.0,2942.0,3826.0,4664.0,10150.0,11810.0,11330.0,12136.0,6364.0,3240.0,2958.0,3294.0,2033.0,1318.0,1547.0,1745.0,1439.0,2758.0,3950.0,3458.0,2674.0,2188.0,2716.0,2614.0,2414.0,2164.0,1374.0,1319.0,984.5,943.0,1170.0,1659.0,2270.0,2238.0,2768.0,2604.0,2426.0,2944.0,2308.0,2005.0,1632.0,2418.0,2010.0,1779.0,1489.0,1669.0,1499.0,846.0,801.5,705.0,1150.0,1144.0,594.5,540.0,458.0,402.5,343.5,348.5,334.8,188.5,126.6,75.75,82.56,63.38,74.5,162.8,249.9,1
10790.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,20220.0,6216.0,4320.0,2878.0,3144.0,2522.0,3164.0,4532.0,11910.0,10270.0,17570.0,19310.0,21840.0,13210.0,7436.0,2518.0,1747.0,1130.0,857.5,893.0,1024.0,1042.0,1039.0,1128.0,1651.0,2003.0,2830.0,3004.0,4404.0,6144.0,4176.0,3176.0,2720.0,3304.0,2502.0,1860.0,1973.0,3168.0,1986.0,1473.0,1685.0,1813.0,1425.0,1352.0,1358.0,1279.0,1243.0,1251.0,802.5,534.0,531.5,320.8,280.8,334.0,215.0,139.2,102.6,136.8,203.8,250.9,350.5,313.0,239.8,269.2,264.0,271.8,314.2,445.2,462.2,335.0,287.0,267.5,240.5,258.8,219.9,176.0,230.2,191.6,137.8,125.7,122.3,107.75,77.7,65.25,57.8,49.12,48.12,34.44,20.58,13.88,16.83,21.67,22.98,1
-10.0,-10.0,-10.0,-10.0,-10.0,43940.0,10376.0,2530.0,1013.5,817.5,1087.0,1096.0,399.5,219.8,296.5,361.8,668.0,907.5,1165.0,926.0,604.5,1044.0,2272.0,1443.0,550.0,512.0,614.5,492.0,469.5,469.0,446.0,541.5,600.5,548.5,522.0,499.2,715.5,743.5,526.0,367.8,505.2,731.0,977.0,1023.0,936.5,683.5,800.5,1274.0,1252.0,1265.0,1181.0,1132.0,1045.0,1077.0,1420.0,1011.0,699.0,702.5,641.0,238.4,205.9,312.2,197.1,113.75,119.6,158.4,203.8,221.1,481.2,427.0,230.9,186.2,258.5,303.8,319.5,403.8,398.8,334.8,286.2,227.1,177.8,250.2,194.9,109.75,159.4,121.4,103.6,123.9,106.56,79.8,59.62,59.16,61.5,64.06,58.06,37.5,22.05,24.62,23.9,53.22,58.8,1
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,20450.0,5730.0,2492.0,1858.0,1564.0,1926.0,4364.0,7540.0,16770.0,17540.0,15950.0,51040.0,-10.0,-10.0,-10.0,44540.0,8164.0,1766.0,827.5,457.5,268.2,204.0,304.5,855.0,2982.0,6090.0,3840.0,3146.0,2820.0,2330.0,3942.0,5160.0,3556.0,2434.0,1583.0,1224.0,1084.0,994.0,1052.0,1006.5,665.5,601.0,760.5,817.5,1119.0,1260.0,533.0,207.2,86.75,74.9,67.25,37.94,34.03,52.0,41.34,18.7,17.89,27.64,47.5,51.78,64.5,100.94,121.8,98.25,81.9,79.56,129.9,160.0,148.9,107.3,92.3,100.5,81.1,76.4,52.78,40.22,30.31,25.05,21.95,25.75,25.05,17.78,18.4,22.23,24.36,16.39,12.92,8.32,4.97,5.348,7.09,17.25,21.02,1
56600.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,31680.0,3444.0,1225.0,707.0,638.5,731.0,873.5,1297.0,3110.0,6410.0,3888.0,1141.0,488.5,751.5,1463.0,1299.0,530.0,296.2,681.5,2138.0,2712.0,1453.0,506.2,402.5,565.0,853.0,1143.0,587.0,486.5,655.0,557.5,1232.0,1075.0,557.0,530.5,616.5,508.8,349.8,392.2,499.8,259.0,149.1,141.4,196.9,233.1,311.0,383.5,390.8,298.0,206.5,250.8,327.0,125.8,141.5,194.2,141.0,73.06,70.5,136.4,148.9,174.1,223.1,216.1,152.0,182.5,170.1,221.5,234.8,314.8,317.8,148.9,102.8,173.6,226.5,176.9,164.8,130.5,97.0,116.6,123.44,75.06,76.5,80.44,57.1,62.25,56.84,47.97,34.94,21.42,11.23,8.26,7.32,11.266,6.59,1
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,8936.0,2134.0,750.0,508.5,662.5,407.0,230.5,264.5,395.5,1120.0,1122.0,801.5,1362.0,1297.0,480.2,329.8,297.8,177.8,99.25,73.56,70.7,73.7,90.2,57.22,44.56,51.5,54.28,55.6,181.8,397.8,472.8,424.0,343.8,316.8,256.2,206.6,185.9,136.1,98.56,133.9,190.6,121.3,64.6,30.67,25.66,31.06,46.88,35.7,37.25,65.8,50.06,53.0,61.03,27.33,33.66,70.1,62.53,19.48,15.43,21.11,34.22,56.97,62.47,37.12,81.0,92.7,84.06,44.53,47.6,79.2,48.5,39.84,43.12,52.2,47.03,49.62,38.47,19.17,13.87,12.55,10.29,18.12,11.62,11.61,16.75,7.504,6.734,8.83,6.246,4.203,5.117,3.912,12.24,14.164,1
